x,kde,ekf_gaussian
-24.02109770652412,2.4310648726398283e-09,1.3129777574601882e-05
-23.996227480052838,2.6462427185100892e-09,1.387383463131264e-05
-23.971357253581555,2.8796231860993777e-09,1.4657740063827131e-05
-23.946487027110273,3.1326689701650298e-09,1.5483490621091568e-05
-23.921616800638986,3.4069535045059253e-09,1.6353175307723241e-05
-23.896746574167704,3.7041687702069938e-09,1.7268979223583141e-05
-23.871876347696421,4.026133607718952e-09,1.8233187541271751e-05
-23.847006121225139,4.3748025616538021e-09,1.9248189625416006e-05
-23.822135894753853,4.7522752885635533e-09,2.031648329767466e-05
-23.79726566828257,5.1608065594005108e-09,2.1440679251440682e-05
-23.772395441811287,5.6028168898386091e-09,2.2623505620273891e-05
-23.747525215340005,6.0809038331597235e-09,2.3867812704141774e-05
-23.722654988868719,6.5978539719840821e-09,2.5176577857598222e-05
-23.697784762397436,7.1566556467428368e-09,2.6552910544069677e-05
-23.672914535926154,7.760512460459148e-09,2.8000057560463624e-05
-23.648044309454871,8.4128576011133205e-09,2.9521408436346817e-05
-23.623174082983589,9.1173690246274631e-09,3.1120501011979415e-05
-23.598303856512302,9.8779855433042e-09,3.2801027199520102e-05
-23.57343363004102,1.0698923866397233e-08,3.4566838931742645e-05
-23.548563403569737,1.1584696641377985e-08,3.6421954302631386e-05
-23.523693177098455,1.2540131546383035e-08,3.8370563904234594e-05
-23.498822950627172,1.357039148629154e-08,4.0417037364173756e-05
-23.473952724155886,1.4680995946876874e-08,4.2565930088212424e-05
-23.449082497684604,1.587784356350421e-08,4.4821990212291418e-05
-23.424212271213321,1.716723596290934e-08,4.71901657684377e-05
-23.399342044742038,1.8555902938672237e-08,4.9675612068940156e-05
-23.374471818270756,2.0051029023113059e-08,5.228369931317692e-05
-23.34960159179947,2.1660281520463345e-08,5.5020020421454978e-05
-23.324731365328187,2.3391840068305307e-08,5.7890399100194749e-05
-23.299861138856905,2.5254427796430199e-08,6.0900898142762266e-05
-23.274990912385622,2.7257344154415828e-08,6.4057827970201e-05
-23.250120685914336,2.9410499481387681e-08,6.7367755416073737e-05
-23.225250459443053,3.1724451393573186e-08,7.0837512759561156e-05
-23.200380232971771,3.4210443067402374e-08,7.4474207010905805e-05
-23.175510006500488,3.688044349801843e-08,7.8285229453201136e-05
-23.150639780029202,3.9747189815159385e-08,8.2278265444456157e-05
-23.12576955355792,4.2824231740424822e-08,8.6461304483760184e-05
-23.100899327086637,4.6125978271959951e-08,9.084265054528471e-05
-23.076029100615354,4.9667746684538931e-08,9.5430932683723005e-05
-23.051158874144072,5.3465813934944016e-08,0.00010023511591466748
-23.026288647672786,5.7537470564352898e-08,0.00010526451237327674
-23.001418421201503,6.190107719119607e-08,0.00011052879275443776
-22.976548194730221,6.6576123689609594e-08,0.00011603799803748659
-22.951677968258938,7.1583291150134998e-08,0.00012180255149835569
-22.926807741787655,7.6944516720770891e-08,0.00012783327101186019
-22.901937515316369,8.2683061427774121e-08,0.00013414138164662777
-22.877067288845087,8.8823581076758037e-08,0.00014073852855496518
-22.852197062373804,9.5392200335663787e-08,0.00014763679015976003
-22.827326835902522,1.0241659010197183e-07,0.00015484869164024081
-22.802456609431239,1.0992604825720056e-07,0.00016238721871821224
-22.777586382959953,1.1795158391216031e-07,0.00017026583174609367
-22.75271615648867,1.2652600524665255e-07,0.00017849848009782057
-22.727845930017388,1.3568401104731486e-07,0.00018709961686338714
-22.702975703546102,1.4546228604700828e-07,0.00019608421384748062
-22.678105477074819,1.5589960016863983e-07,0.00020546777687234692
-22.653235250603537,1.6703691177549385e-07,0.00021526636138470879
-22.628365024132254,1.7891747502897513e-07,0.00022549658836615812
-22.603494797660971,1.9158695145325716e-07,0.00023617566054611998
-22.578624571189685,2.0509352580450058e-07,0.00024732137891607273
-22.553754344718403,2.194880263401349e-07,0.00025895215954330918
-22.52888411824712,2.3482404958117827e-07,0.00027108705068212076
-22.504013891775838,2.5115808965755362e-07,0.00028374575017981423
-22.479143665304555,2.6854967232303161e-07,0.00029694862317455509
-22.454273438833269,2.8706149372255785e-07,0.00031071672008153043
-22.429403212361986,3.0675956399043126e-07,0.00032507179486343914
-22.404532985890704,3.2771335575304337e-07,0.0003400363235808463
-22.379662759419421,3.4999595760450781e-07,0.00035563352321733448
-22.354792532948139,3.7368423261776913e-07,0.00037188737077392892
-22.329922306476853,3.9885898194734025e-07,0.00038882262262665345
-22.30505208000557,4.2560511357286079e-07,0.0004064648341405098
-22.280181853534287,4.5401181622519175e-07,0.00042484037953260977
-22.255311627063005,4.841727385284871e-07,0.00044397647197650259
