x,kde,ekf_gaussian
-22.401538425328155,0.00011632449486551524,0.0003418803726411345
-22.369324330837024,0.00012042884751279012,0.00036230901786719671
-22.337110236345893,0.00012466445749543436,0.00038385654719337543
-22.304896141854766,0.00012903500431719751,0.00040657773755343107
-22.272682047363638,0.00013354425194701857,0.00043052965472423985
-22.240467952872507,0.00013819605011798389,0.00045577172650174982
-22.208253858381376,0.00014299433562448816,0.00048236581697499683
-22.176039763890248,0.00014794313361667796,0.00051037630184127625
-22.143825669399121,0.00015304655889123361,0.0005398701447002325
-22.11161157490799,0.00015830881717750122,0.00057091697425908463
-22.079397480416858,0.00016373420641798518,0.00060358916237558138
-22.047183385925731,0.0001693271180421443,0.0006379619028594049
-22.014969291434603,0.00017509203823244562,0.00067411329094670808
-21.982755196943472,0.00018103354918155487,0.00071212440335629949
-21.950541102452341,0.00018715633033954869,0.00075207937882965602
-21.918327007961214,0.00019346515964999096,0.00079406549905052025
-21.886112913470086,0.00019996491477367029,0.00083817326983312318
-21.853898818978955,0.00020666057429879196,0.000884496502461386
-21.821684724487824,0.00021355721893636287,0.00093313239505456429
-21.789470629996696,0.0002206600326994932,0.00098418161382785615
-21.757256535505565,0.00022797430406530173,0.0010377483741093511
-21.725042441014438,0.00023550542711807997,0.0010939405209674864
-21.692828346523306,0.00024325890267234959,0.0011528696092961306
-21.660614252032175,0.00025124033937439351,0.0012146509831967608
-21.628400157541048,0.00025945545478085779,0.0012794038544901964
-21.59618606304992,0.0002679100764129342,0.0013472513801827178
-21.563971968558789,0.00027661014278464858,0.0014183207387040199
-21.531757874067658,0.00028556170440373514,0.0014927432047270907
-21.499543779576531,0.00029477092474354159,0.0015706542223727347
-21.467329685085403,0.00030424408118440751,0.0016521934765940148
-21.435115590594272,0.00031398756592289351,0.0017375049625285837
-21.402901496103141,0.00032400788684723293,0.001826737052599734
-21.370687401612013,0.00033431166837738296,0.0019200425611398475
-21.338473307120886,0.00034490565226795417,0.0020175788063028998
-21.306259212629755,0.00035579669837233058,0.0021195076690257611
-21.274045118138623,0.00036699178536624746,0.0022259956487914656
-21.241831023647496,0.00037849801142908712,0.0023372139159411236
-21.209616929156368,0.00039032259488110143,0.0024533383602747894
-21.177402834665237,0.00040247287477476187,0.0025745496356756126
-21.145188740174106,0.00041495631143841457,0.0027010332004858677
-21.112974645682975,0.00042778048697044238,0.0028329793533581481
-21.080760551191847,0.0004409531056820155,0.0029705832642995473
-21.04854645670072,0.0004544819944865946,0.0031140450006223882
-21.016332362209589,0.00046837510323430109,0.0032635695475101518
-20.984118267718458,0.00048264050498919309,0.0034193668229037699
-20.95190417322733,0.0004972863962475943,0.0035816516864097775
-20.919690078736203,0.00051232109709549976,0.0037506439419288033
-20.887475984245071,0.00052775305130311253,0.0039265683337002498
-20.85526188975394,0.00054359082635455265,0.0041096545354572843
-20.823047795262813,0.00055984311341079733,0.0043001371323848217
-20.790833700771685,0.00057651872720383658,0.004498255595572263
-20.758619606280554,0.00059362660586009678,0.0047042542486525982
-20.726405511789423,0.00061117581065111789,0.0049183822263200953
-20.694191417298295,0.00062917552566951718,0.0051408934244200405
-20.661977322807168,0.00064763505742825348,0.0053720464413057325
-20.629763228316037,0.00066656383438114871,0.0056121045101606261
